"course","code","degree"
"Agriculture Yr 1 Sem 1","G-SAGRG1","BSc"
"Rural Enterprise & Environmental Mgmt Yr 2 Sem 3","G-SAGRG2","BSc"
"Rural Enterprise & Environmental Mgmt L8 Yr 4 Sem 7","G-SAGRG4","BSc"
"Agriculture L7 Yr 1 Sem 2","G-SAGRG71","BSc"
"Rural Enterprise & Environmental Mgmt L7 Yr 2 Sem 4","G-SAGRG72","BSc"
"Rural Enterprise & Environmental Mgmt L7 Yr 3 Sem 5","G-SAGRG73","BSc"
"Rural Enterprise & Environmental Mgmt L7 Yr 3 Sem 6","G-SAGRG73","BSc"
"Rural Enterprise & Environmental Mgmt L8 Yr 4 Sem 8","G-SAGRG84","BSc"
"Chemical & Pharmaceutical Science Yr 2 Sem 3","G-SCHPG2","BSc"
"Chemical & Pharmaceutical Science Yr 3 Sem 5","G-SCHPG3","BSc"
"Chemical & Pharmaceutical Science Yr 3 Sem 5","G-SCHPG3","BSc"
"Chemical & Pharmaceutical Science Yr 4","G-SCHPG4","BSc"
"Chemical & Pharmaceutical Science L7&8 Yr 2 Sem 4","G-SCHPG72","BSc"
"(Hons) in Chemical & Pharmaceutical Science L8 Yr 2 Sem 4","G-SCHPG82","BSc"
"Medical Science L8 Yr 1 Sem 1","G-SCMLG81","BSc"
"Medical Science L8 Yr 1 Sem 2","G-SCMLG81","BSc"
"Medical Science L8 Yr 2 Sem 3","G-SCMLG82","BSc"
"Medical Science L8 Yr 2 Sem 4","G-SCMLG82","BSc"
"Medical Science L8 Yr 3","G-SCMLG83","BSc"
"Medical Science L8 Yr 4","G-SCMLG84","BSc"
"Common Science Gr A Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr A-K Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr B Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr C Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr D Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr E Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr F Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr G Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr H Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr I Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr J Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr K Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr L Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr M Yr 1 Sem 1","G-SCOMG1","BSc"
"Common Science Gr N Yr 1 Sem 1","G-SCOMG1","BSc"
"(Ord): Common Science Gr A L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr A-K L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr B L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr C  L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr D L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr E L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr F L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr G L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr H L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr I L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr J L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr K L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr L L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr M L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"(Ord): Common Science Gr N L7 Yr 1 Sem 2","G-SCOMG71","BSc"
"Food Innovation and Entrepreneurship L9","G-SFIEG95","Certificate"
"Forensic Science. & Analysis L8 Yr 2 Sem 3","G-SFSCG82","BSc"
"Forensic Science. & Analysis L8 Yr 2 Sem 4","G-SFSCG82","BSc"
"Forensic Science. & Analysis L8 Yr 3 Sem 5","G-SFSCG83","BSc"
"Forensic Science. & Analysis L8 Yr 4 Sem 7","G-SFSCG84","BSc"
"Forensic Science. & Analysis L8 Yr 4 Sem 8","G-SFSCG84","BSc"
"The Erasmus Mundus Biodiversity & Conservation (EMBC) Yr 5","G-SMBCC95","MSc"
"Medical Device Technology L6 Yr 1","G-SMEDG61","Certificate"
"The Research Cycle: Theory and Practice Yr 5 Sem 9","G-SMHMG59","Unknown"
"Physics & Instrumentation L7&8 Yr 2 Sem 4","G-SPHYG2","BSc"
"Physics & Instrumentation Yr 2 Sem 3","G-SPHYG2","BSc"
"Physics & Instrumentation L7&8 Yr 3","G-SPHYG3","BSc"
"(Hons) in Physics & Instrumentation L8 Yr 2 Sem 4","G-SPHYG82","BSc"
"Physics & Instrumentation L8 Yr 4 Sem 8","G-SPHYG84","BSc"
"Physics & Instrumentation Yr 4 Sem 7","G-SPHYG84","BSc"
"(Honours) in Sport and Exercise Science L8 Yr 1 Sem 1","G-SSESG81","BSc"
"(Honours) in Sport and Exercise Science L8 Yr 1 Sem 2","G-SSESG81","BSc"
"Ed (Construction Studies/Design/Comm Graphics) L8 Yr 4","L-AEDUL84","Prof Dipl"
"Design & Technical Education (Honours) L8 Yr 1","L-SDETL81","BSc"
"Design & Technical Education (Honours) L8 Yr 2","L-SDETL82","BSc"
"Design & Technical Education L8 Yr 3","L-SDETL83","BSc"
"Design & Technical Education L8 Yr 4","L-SDETL84","BSc"
"Furniture Design and Manufacture (Honours) L8 Yr 1 Gr 1","L-SFDAL81-1","BSc"
"Furniture Design and Manufacture (Honours) L8 Yr 1 Gr2","L-SFDAL81-2","BSc"
"Furniture Design and Manufacture (Honours) L8 Yr 2 Gr 1","L-SFDAL82-1","BSc"
"Furniture Design and Manufacture (Honours) L8 Yr 2 Gr 2","L-SFDAL82-2","BSc"
"L-SFDAL83-1","L-SFDAL83-1","L8 Yr 3"
"L-SFDAL83-1","L-SFDAL83-1","L8 Yr 3"
"Furniture Design and Manufacture L7 Yr 1 Gr1","L-SFUDL71-1","BSc"
"Furniture Design and Manufacture L7 Yr 1 Gr2","L-SFUDL71-2","BSc"
"Furniture Design and Manufacture L7 Yr 2 Gr 1","L-SFUDL72-1","BSc"
"Furniture Design and Manufacture L7 Yr 2 Gr 2","L-SFUDL72-2","BSc"
"Furniture Design and Manufacture L7  Yr 3 Gr 1","L-SFUDL73","BSc"
"Furniture Design and Manufacture L7 Yr 3 Gr 2","L-SFUDL73","BSc"
"(Honours) in Furniture Design and Manufacture L8 Yr 1 Gr1","L-SFUDL81-1","BSc"
"(Honours) in Furniture Design and Manufacture L8 Yr 1 Grr2","L-SFUDL81-2","BSc"
"Furniture Design and Manufacture L8 Yr 2 Gr 1","L-SFUDL82-1","BSc"
"Furniture Design and Manufacture L8 Yr 2 Gr 1","L-SFUDL82-1","BSc"
"Furniture Design and Manufacture L8  Yr 3 Gr 1","L-SFUDL83","BSc"
"Furniture Design and Manufacture L8  Yr 3 Gr 1","L-SFUDL83","BSc"
"Furniture Design and Manufacture (Honours) L8 Yr 4","L-SFUDL84","BSc"
"Furniture & Wood Technology L7 Yr 1","L-SFUWL71","BSc"
"Furniture & Wood Technology L7 Yr 2","L-SFUWL72","BSc"
"Furniture & Wood Technology (Honours) L8 Yr 3","L-SFUWL83","BSc"
"Furniture & Wood Technology (Honours) L8 Yr 4","L-SFUWL84","BSc"
"Management Yr1","MA-Cons","SPA"
"Applied Social Studies L7 Yr 1","MA-ASC1_SCARC_B07","BA"
"Applied Social Studies L7 Yr 2","MA-ASC2_SCARC_B07","BA"
"Applied Social Studies L7 Yr 3","MA-ASC3_SASSC_B07","BA"
"Applied Social Studies L8 Yr 4","MA-ASC4-SCARC_H08","Unknown"
"Accounting and Finance L7 Yr 1","MA-BAFM1-BAFMCC71","BA"
"Accounting & Financial Mgmt L7 Yr 2","MA-BAFM2-BACFA72","BA"
"Accounting & Financial Mgmt (Add on) L7 Yr 3","MA-BAFM3-BAFMC73","BA"
"(Honours) in Accounting L8 Yr 4","MA-BAFM4-BACTC84","Bachelor of Business"
"Business L7 Yr 1","MA-BUS1-BBUSC71","BB"
"Business L7 Yr 2","MA-BUS2-BBUSC72","BB"
"Business L7 Yr 3","MA-BUS3_BBUSS_B07","BB"
"L8 Yr 4","MA-BUS4-BBUSC84","Bachelor of Business"
"HC in Computer Applications L6 Yr 2","MA-CA2","BICT62"
"Construction Management in Refurbishment and Maintenance Yr 3","MA-CON3-CMRMC73","BSc"
"Digital Media & Society L8 Yr 2","MA-DigMe2-KDMSC_H08","BSc"
"Digital Media & Society L8 Yr 3","MA-DigMe3-KDMSC_H08","BSc"
"Digital Media & Society L8 Yr 4","MA-DigMe4-KDMSC_H08","BSc"
"Foundation Studies","MA-Found-TFOUC_F05","Unknown"
"Humanities in Heritage Studies L7 Yr 2","MA-Her2-HHERC71","BA"
"Humanities in Heritage Studies L7 Yr 3","MA-Her3_HHERC_B07","BA"
"Heritage Studies L8 Yr 4","MA-Her4-HHERI84","BA"
"Human Resource Mgmt L7 Yr 2","MA-HRM2-BHRMC72","BA"
"Science in Info Tech Support L6 Yr 1","MA-ITS1-KITSC61","HC"
"Science in Info Tech Support L6 Yr 2","MA-ITS2-KITSC62","HC"
"Computing in Info Tech Administration L7 Yr 3","MA-ITS3-KITAC73","BSc"
"Computer Service Mgmt L8 Yr 4","MA-ITS4-KCSMC84","BSc"
"(Hons) in General Nursing Yr 2","MA-NGen2-SGENC82","BSc"
"General Nursing L8 Yr 3","MA-NGen3-SGENC83","BSc"
"General Nursing L8 Yr 4","MA-NGen4-SGENC84","BSc"
"Nursing International Program","MA-NInt4-NNURSK84","Unknown"
"Psychiatric Nursing L8 Yr 1","MA-NPsy1-SPSYC81","BSc"
"(Hons) in Psychiatric Nursing Yr 2","MA-NPsy2-SPSYC82","BSc"
"Psychiatric Nursing Yr 3","MA-NPsy3-SPSYC83","BSc"
"Psychiatric Nursing Yr 4","MA-NPsy4-SPSYC83","BSc"
"Early Childhood Education and Care","MA-N-SECHC","Unknown"
"Outdoor Education & Leisure L7 Yr 1","MA-OE1-HOELC71","BA"
"Outdoor Education & Leisure L7 Yr 2","MA-OE2-HOELC72","BA"
"Outdoor Education and Leisure L7 Yr 3","MA-OE3-HOELC73","BA"
"Supervisory Management  Yr 1","MA-SUPMAN1-BSVMC71","Unknown"
"Outdoor Education & Leisure L8 Yr 4","M-HOEDC84","BA"
"General Nursing L8 Yr 1","M-NGen1-SGENC81","BSc"
